id,number,street,unit,lon,lat,city,postcode,region,accuracy
GANSW718122281,30,MAHONY AVENUE,UNIT 2,150.91254745,-31.09958393,WEST TAMWORTH,2340,NSW,2
GANSW706212438,40,HAMPDEN AVENUE,,151.13710781,-33.71196974,WAHROONGA,2076,NSW,2
GANSW706218389,5,CORRIN COURT,,150.94299296,-33.94739795,WATTLE GROVE,2173,NSW,2
GANSW706219360,71,SANDGATE ROAD,,151.68071682,-32.89607034,WALLSEND,2287,NSW,2
GANSW706209871,8,MINELL CLOSE,,151.44232956,-33.43509123,WAMBERAL,2260,NSW,2
GANSW706214156,18,RAYMOND AVENUE,,151.12713617,-33.72137702,WARRAWEE,2074,NSW,2
GANSW706216653,19,HILL STREET,,151.66097817,-32.89866272,WALLSEND,2287,NSW,2
GANSW706190514,51,LAKE ENTRANCE ROAD,,150.85386240,-34.55449458,WARILLA,2528,NSW,2
GANSW706218542,46,VICTORIA STREET,,151.25532586,-33.90018700,WAVERLEY,2024,NSW,2
GANSW706191987,2,REDLEAF AVENUE,UNIT 4,151.11770082,-33.71865800,WAHROONGA,2076,NSW,2
GANSW718280847,21,AMSTERDAM CIRCUIT,UNIT 6,151.45352551,-33.26155789,WYONG,2259,NSW,2
